title: test  nSrf: 21795  downL: 300.000                    
145 293.475 0.60 0.10 1.50 298.150
146 292.378 0.96 0.10 1.50 298.150
147 294.951 0.60 0.10 1.50 298.150
148 294.311 0.60 0.10 1.50 298.150
149 294.698 0.60 0.10 1.50 298.150
150 296.521 0.60 0.10 1.50 298.150
151 295.687 0.60 0.10 1.50 298.150
152 295.130 0.60 0.10 1.50 298.150
153 294.368 0.60 0.10 1.50 298.150
154 294.376 0.60 0.10 1.50 298.150
155 293.579 0.60 0.10 1.50 298.150
156 296.041 0.96 0.10 1.50 298.150
157 295.343 0.60 0.10 1.50 298.150
158 298.253 0.60 0.10 1.50 298.150
159 296.808 0.60 0.10 1.50 298.150
160 298.092 0.60 0.10 1.50 298.150
161 297.994 0.60 0.10 1.50 298.150
162 295.127 0.97 0.10 1.50 298.150
163 296.946 0.60 0.10 1.50 298.150
164 294.990 0.81 0.10 1.50 298.150
165 294.985 0.60 0.10 1.50 298.150
166 296.355 0.60 0.10 1.50 298.150
167 298.061 0.60 0.10 1.50 298.150
168 298.170 0.97 0.10 1.50 298.150
169 297.439 0.60 0.10 1.50 298.150
170 294.826 0.60 0.10 1.50 298.150
171 296.345 0.60 0.10 1.50 298.150
172 295.816 0.60 0.10 1.50 298.150
173 296.837 0.60 0.10 1.50 298.150
174 293.602 0.96 0.10 1.50 298.150
175 296.227 0.60 0.10 1.50 298.150
176 295.461 0.60 0.10 1.50 298.150
177 295.063 0.60 0.10 1.50 298.150
178 294.882 0.60 0.10 1.50 298.150
179 294.718 0.60 0.10 1.50 298.150
180 295.568 0.60 0.10 1.50 298.150
181 295.303 0.60 0.10 1.50 298.150
182 295.251 0.89 0.10 1.50 298.150
183 296.914 0.60 0.10 1.50 298.150
184 293.523 0.92 0.10 1.50 298.150
185 295.425 0.60 0.10 1.50 298.150
186 296.647 0.60 0.10 1.50 298.150
187 295.000 0.60 0.10 1.50 298.150
188 293.136 0.97 0.10 1.50 298.150
189 295.047 0.96 0.10 1.50 298.150
190 296.097 0.60 0.10 1.50 298.150
191 295.491 0.60 0.10 1.50 298.150
192 295.563 0.60 0.10 1.50 298.150
193 292.749 0.80 0.10 1.50 298.150
194 293.398 0.95 0.10 1.50 298.150
195 295.245 0.60 0.10 1.50 298.150
196 294.879 0.60 0.10 1.50 298.150
197 294.303 0.78 0.10 1.50 298.150
198 294.367 0.60 0.10 1.50 298.150
199 296.431 0.60 0.10 1.50 298.150
200 292.192 0.80 0.10 1.50 298.150
201 294.760 0.60 0.10 1.50 298.150
202 294.554 0.60 0.10 1.50 298.150
203 295.213 0.60 0.10 1.50 298.150
204 294.171 0.60 0.10 1.50 298.150
205 295.052 0.60 0.10 1.50 298.150
206 295.248 0.60 0.10 1.50 298.150
207 295.575 0.60 0.10 1.50 298.150
208 295.723 0.60 0.10 1.50 298.150
209 296.822 0.60 0.10 1.50 298.150
210 294.756 0.60 0.10 1.50 298.150
211 294.529 0.60 0.10 1.50 298.150
212 294.939 0.60 0.10 1.50 298.150
213 295.500 0.60 0.10 1.50 298.150
214 293.606 0.60 0.10 1.50 298.150
215 293.992 0.60 0.10 1.50 298.150
216 295.392 0.60 0.10 1.50 298.150
217 294.556 0.97 0.10 1.50 298.150
218 294.069 0.60 0.10 1.50 298.150
219 295.728 0.60 0.10 1.50 298.150
220 294.514 0.60 0.10 1.50 298.150
221 292.872 0.89 0.10 1.50 298.150
222 295.097 0.74 0.10 1.50 298.150
223 294.265 0.74 0.10 1.50 298.150
224 294.495 0.60 0.10 1.50 298.150
225 293.667 0.87 0.10 1.50 298.150
226 296.486 0.60 0.10 1.50 298.150
227 296.077 0.60 0.10 1.50 298.150
228 294.813 0.60 0.10 1.50 298.150
229 295.995 0.60 0.10 1.50 298.150
230 294.978 0.60 0.10 1.50 298.150
231 294.571 0.60 0.10 1.50 298.150
232 293.129 0.88 0.10 1.50 298.150
233 294.137 0.60 0.10 1.50 298.150
234 292.944 0.94 0.10 1.50 298.150
235 293.498 0.60 0.10 1.50 298.150
236 296.368 0.97 0.10 1.50 298.150
237 291.481 0.96 0.10 1.50 298.150
238 293.606 0.60 0.10 1.50 298.150
239 293.530 0.60 0.10 1.50 298.150
240 293.624 0.60 0.10 1.50 298.150
241 294.562 0.96 0.10 1.50 298.150
242 295.982 0.74 0.10 1.50 298.150
243 295.414 0.60 0.10 1.50 298.150
244 296.010 0.60 0.10 1.50 298.150
245 297.631 0.60 0.10 1.50 298.150
246 297.091 0.60 0.10 1.50 298.150
247 297.565 0.60 0.10 1.50 298.150
248 296.928 0.60 0.10 1.50 298.150
249 296.703 0.60 0.10 1.50 298.150
250 293.474 0.60 0.10 1.50 298.150
251 294.054 0.60 0.10 1.50 298.150
252 297.879 0.60 0.10 1.50 298.150
253 297.731 0.60 0.10 1.50 298.150
254 296.397 0.60 0.10 1.50 298.150
255 296.441 0.60 0.10 1.50 298.150
256 292.975 0.94 0.10 1.50 298.150
257 295.365 0.60 0.10 1.50 298.150
258 295.728 0.60 0.10 1.50 298.150
259 296.798 0.97 0.10 1.50 298.150
260 296.400 0.60 0.10 1.50 298.150
261 297.670 0.60 0.10 1.50 298.150
262 295.247 0.97 0.10 1.50 298.150
263 296.391 0.60 0.10 1.50 298.150
264 291.662 0.91 0.10 1.50 298.150
265 297.546 0.60 0.10 1.50 298.150
266 298.173 0.60 0.10 1.50 298.150
267 298.130 0.97 0.10 1.50 298.150
268 297.469 0.60 0.10 1.50 298.150
269 296.570 0.60 0.10 1.50 298.150
270 296.947 0.60 0.10 1.50 298.150
271 296.078 0.60 0.10 1.50 298.150
272 293.716 0.60 0.10 1.50 298.150
273 293.498 0.60 0.10 1.50 298.150
274 293.210 0.81 0.10 1.50 298.150
275 296.672 0.60 0.10 1.50 298.150
276 296.522 0.60 0.10 1.50 298.150
277 296.242 0.60 0.10 1.50 298.150
278 293.460 0.60 0.10 1.50 298.150
279 294.446 0.60 0.10 1.50 298.150
280 292.594 0.88 0.10 1.50 298.150
281 296.691 0.60 0.10 1.50 298.150
282 294.614 0.60 0.10 1.50 298.150
283 296.790 0.60 0.10 1.50 298.150
284 293.421 0.60 0.10 1.50 298.150
285 293.070 0.82 0.10 1.50 298.150
286 295.482 0.60 0.10 1.50 298.150
287 295.522 0.60 0.10 1.50 298.150
288 293.916 0.60 0.10 1.50 298.150
289 293.616 0.60 0.10 1.50 298.150
290 295.788 0.60 0.10 1.50 298.150
291 293.268 0.82 0.10 1.50 298.150
292 296.830 0.60 0.10 1.50 298.150
293 296.453 0.60 0.10 1.50 298.150
294 295.992 0.60 0.10 1.50 298.150
295 294.155 0.95 0.10 1.50 298.150
296 297.922 0.60 0.10 1.50 298.150
297 294.930 0.60 0.10 1.50 298.150
298 293.177 0.97 0.10 1.50 298.150
299 292.716 0.87 0.10 1.50 298.150
300 295.291 0.60 0.10 1.50 298.150
301 294.036 0.60 0.10 1.50 298.150
302 295.942 0.60 0.10 1.50 298.150
303 296.003 0.60 0.10 1.50 298.150
304 295.514 0.60 0.10 1.50 298.150
305 295.004 0.60 0.10 1.50 298.150
306 295.320 0.60 0.10 1.50 298.150
307 298.122 0.60 0.10 1.50 298.150
308 295.120 0.60 0.10 1.50 298.150
309 294.627 0.60 0.10 1.50 298.150
310 295.171 0.60 0.10 1.50 298.150
311 293.423 0.60 0.10 1.50 298.150
312 293.635 0.60 0.10 1.50 298.150
313 293.445 0.60 0.10 1.50 298.150
314 293.427 0.60 0.10 1.50 298.150
315 293.374 0.60 0.10 1.50 298.150
316 293.388 0.60 0.10 1.50 298.150
317 298.118 0.60 0.10 1.50 298.150
318 295.073 0.60 0.10 1.50 298.150
319 295.092 0.60 0.10 1.50 298.150
320 293.623 0.80 0.10 1.50 298.150
321 298.079 0.60 0.10 1.50 298.150
322 298.086 0.60 0.10 1.50 298.150
323 293.398 0.60 0.10 1.50 298.150
324 298.114 0.60 0.10 1.50 298.150
325 298.082 0.60 0.10 1.50 298.150
326 297.013 0.60 0.10 1.50 298.150
327 296.019 0.60 0.10 1.50 298.150
328 294.148 0.60 0.10 1.50 298.150
329 293.972 0.95 0.10 1.50 298.150
330 296.063 0.60 0.10 1.50 298.150
331 293.934 0.60 0.10 1.50 298.150
332 293.378 0.60 0.10 1.50 298.150
333 293.998 0.60 0.10 1.50 298.150
334 296.190 0.60 0.10 1.50 298.150
335 295.063 0.60 0.10 1.50 298.150
336 296.569 0.60 0.10 1.50 298.150
337 293.689 0.60 0.10 1.50 298.150
338 294.783 0.60 0.10 1.50 298.150
339 295.997 0.60 0.10 1.50 298.150
340 294.914 0.60 0.10 1.50 298.150
341 293.460 0.60 0.10 1.50 298.150
342 293.742 0.60 0.10 1.50 298.150
343 296.755 0.60 0.10 1.50 298.150
344 296.967 0.60 0.10 1.50 298.150
345 293.379 0.60 0.10 1.50 298.150
346 294.140 0.60 0.10 1.50 298.150
347 294.067 0.60 0.10 1.50 298.150
348 295.893 0.60 0.10 1.50 298.150
349 293.549 0.60 0.10 1.50 298.150
350 294.006 0.60 0.10 1.50 298.150
351 296.214 0.60 0.10 1.50 298.150
352 295.280 0.60 0.10 1.50 298.150
353 295.579 0.60 0.10 1.50 298.150
354 291.259 0.96 0.10 1.50 298.150
355 293.554 0.60 0.10 1.50 298.150
356 294.348 0.97 0.10 1.50 298.150
357 294.964 0.60 0.10 1.50 298.150
358 293.491 0.82 0.10 1.50 298.150
359 295.114 0.60 0.10 1.50 298.150
360 296.816 0.60 0.10 1.50 298.150
361 296.149 0.60 0.10 1.50 298.150
362 298.148 0.60 0.10 1.50 298.150
363 298.147 0.60 0.10 1.50 298.150
364 298.069 0.60 0.10 1.50 298.150
365 297.000 0.60 0.10 1.50 298.150
366 297.347 0.60 0.10 1.50 298.150
367 297.410 0.60 0.10 1.50 298.150
368 297.829 0.60 0.10 1.50 298.150
369 298.219 0.60 0.10 1.50 298.150
370 298.141 0.60 0.10 1.50 298.150
371 295.987 0.60 0.10 1.50 298.150
372 295.684 0.60 0.10 1.50 298.150
373 294.580 0.60 0.10 1.50 298.150
374 297.982 0.97 0.10 1.50 298.150
375 298.120 0.60 0.10 1.50 298.150
